類別,,完成,書名,commits,author
iOS 開發,1,TRUE,iOS 9 app ,初學 iOS Swift 開發入門好書、一個餐廳地圖app,Simon Ng
,2,TRUE,iOS 10 app ,,
,3,FALSE,iOS 10 App 程式設計進階攻略,以39個專案介紹iOS開發必學技巧,
,4,TRUE,The Swift Programming Language (Swift 4),"Apple 官方介紹Swift語言概念與操作方式的特性包含、Optional, Closures, 等等基本概念",Apple official 
,5,TRUE,Pro Swift,"Hacking With Swift系列 介紹 Protocol-Oriented-Programming(POP), Struct, 及Functional Programming(FP)等等概念與方法、是非常推薦的一本Swift書籍",Paul Hudson
,6,FALSE,Practical iOS 11,"介紹與開發iOS 11相關Framework, 如 Machine Learning, ARKit等等",
,7,TRUE,Advance Swift,介紹更進階詳細的Swift、為objc.io出品,objc.io出品
,8,TRUE,Functional Swift,介紹函數式Swift的程式設計方式與概念,
,9,FALSE,Swifter,介紹更進階詳細的Swift、為objc.io出品,
,10,FALSE,CoreData,介紹Coredata,
,11,FALSE,Pro DesignPattern in Swift,介紹23種設計模式於Swift實現方法及使用實機場景,
飲食與健康,12,TRUE,防彈飲食,"選擇你的食物、離開麩質蛋白質、以高油高鹽低碳進食、間歇性斷食 (16/8)啟用細胞自噬效應(autophagy)、草飼食物品質最好，人可以不需要吃碳水化合物、地瓜是高品質碳水化合物來源、防彈咖啡、依化學結構中鏈脂肪酸(MCT)油 (C6,C8,C10,C12[月桂酸])其中月桂酸結構歸類為MCT實際身體把它作為LCT來使用、鹽巴是腎上腺的原物料需要補充至正常(5g的鈉)",Dave Asprey
,13,TRUE,自體免疫自救解方,避免麩質食物、功能性醫學、抗氧化物、糖尿病可逆、透過重新設定人的體重值、傾聽身體的聲音,
,14,FALSE,恐怖的自體免疫疾病療癒聖經,,
,15,TRUE,生酮治病飲食全書,介紹生酮注意事項與相關好處及有利的研究證明文獻可供參考及美味生酮食譜,
,16,TRUE,田安石的低醣廚房,很多無麩質生酮的食譜、麩質可能是慢性發炎的原因之一、慢性發炎很難被發現。,田安石
"探索自我
成長",17,TRUE,被討厭的勇氣 1,個體心理，自己的存在就是有價值、只要自己認同即可、不需要依賴取悅他人來證明自己的價值，無需在意任何別人的標籤、評價,
,18,TRUE,被討厭的勇氣 2,阿德勒心理學、更進一步不要讚美與批評人來證明自己的價值、同時也不會影響被評論者的期望 -> 解開任何場所情境的情緒勒索,
,19,TRUE,阿德勒的心理學講義,認識個體心理學、思考”不需要取悅他人、證明自己價值”、”課題分離”、”不要鼓勵也不要責備的溝通方式”、”人生原形的塑型”、”人生風格的建構過程”、人生不是因果命定論而是選擇、我們都擁有選擇主導權。人生的任何問題接來自於人際關係、社會、工作。 自卑感與優越感都不是壞事、會使人反思與反省，但過度自卑而有自卑情結與過度優越產生優越情結責成了枷鎖、自卑情結產生優越情結,Alfred adler
,20,FALSE,自卑與超越,,
,21,TRUE,情緒勒索,專注在自己感受(這是提高自我價值與自信的鑰匙)、先感謝對方為你著想的立場。認清自己的情緒界限(非底限)、利用後設認知(元認知)了解情緒過後的過程與未來因應策略、認清自己的能力極限。,
,22,TRUE,斷捨離 ,解耦對物的依賴達到降低物欲、只留高品質必須用品、以感恩的心將物品贈予他人或是讓物歸跟、少但要更好、東西少好整理好清潔好搜尋、每樣留下的物品皆可以有多功能,
,23,TRUE,我決定簡單的生活：從斷捨離到極簡主義，丟東西後改變我的12件事！,解耦對物的依賴達到降低物欲、只留高品質必須用品、以感恩的心將物品贈予他人或是讓物歸跟、少但要更好、東西少好整理好清潔好搜尋、每樣留下的物品皆可以有多功能,
,24,TRUE,靜坐的科學,"靜坐或稱坐思，用來訓練大腦專注的一種方法：透過專注對呼與吸的過程、將思緒沈澱、將專注集中。 靜坐可以破解腦袋功能恢復正常情況如交感神經與副交感神經，追求空即是非空、而不追求、則可以到、就跟粒子測不准原理(uncertainty principle)雷同，粒子的動量與位置無法同時被觀測。",楊定一
,25,TRUE,不辦事清單,少、但是要更好,
,26,TRUE,少，但要更好,追求本質、精挑、簡化、準確執行,
,27,TRUE,曼陀羅筆記術,"曼陀羅: Mandala：具備本質的事物、Manda(本質、真髓)、la(擁有) 透過九宮格來類別如：健康、工作、人際關係、成長、旅遊、家庭等事務與中心(我)的規劃方法、用程式概念是說：低耦合高內聚方式來寫todo規劃。 最終將可以透過事前規劃與執行CAPD(check, action, plan, do)操作，是年、季、月、日策劃的不錯的概念。",松村寧雄著、鄭衍偉譯
,28,FALSE,查拉圖斯拉如是說 尼采,在民間普遍遵從上帝的時代、提出上帝已死的概念且人是要以超人(超越自我)作為目標、而非虛渺無實的神祇偶像、以「凡非殺不死我的必使我強壯」、鼓勵且激勵自我、透過許多聖經裡的類句反諷聖經寫的內容、真正的幸福來自於自我的成長與突破所帶來的成就感。,尼采著、錢春綺譯
,29,TRUE,Designing your life - 設計自己人生,"人可以選擇自己的專注力、 「價值觀」決定選擇的品質
「方法」決定選擇後行動的執行品質",
,30,TRUE,通往財富道路,"智商非天定、可後天訓練 專注在成長率是一種提高智商的方法 專注>時間>金錢 價值觀就是：知道什麼好、什麼更好、什麼最好 專注是最昂貴資源、且是成長的原料之一 腦力有復利且衰退遠慢於體力 抱怨不會成長、學習則會 智商是什麼？有很多清晰必要且準確的概念及很多清晰必要且準確關連所集結。",李笑來
,31,TRUE,與時間做朋友 ,時間不能管理、你只能與他做朋友、我們可以通過學習來降低時間的使用效率、進而長壽、任何成長都是時間的積累而成、成功不是偶然、而是積累所產生的結果,
,32,TRUE,人人都能用英語,,
,33,TRUE,新生 七年就是一輩子,七年就是一輩子、人生可以有很多輩子,
,34,TRUE,我也有話要說,,
